text,standardized,split,input_char_len,target_char_len,input_byte_len,target_byte_len,input_byte_char_ratio,target_byte_char_ratio
Bondié ohhhh cki mo kpav pas kontan sa ministre transport la zis so la voix mem irite moi oufff,"Bondieu oh! Seki mo kapav pas kontan sa ministre transport la zis so la voix mem irite moi, ouf.",train,95,96,96,96,1.0105263157894737,1.0
Mine veg la pa veg,"Mine veg la, pa veg.",train,18,20,18,20,1.0,1.0
Zournalis la ti bzn rent dan toilet li bez n lamain soi n ledoit si pna narnier prn cong pa rod kas fasil,Zournalis la. Ti bizin rantre dan toilet li bez enn lamai soi enn ledoit. Si pena nanyin pran conge. Pa rode kas fasil.,train,105,119,105,119,1.0,1.0
2026 commence bien🤣,2026 commence bien.🤣,train,19,20,22,23,1.1578947368421053,1.15
Koom ça bann la ena ça kantité kas la dans la banque ti bizin faire ene l'audit pou kone kot kas la sorti,Kumsa bann la ena sa kantite kas ladan labank? Ti bizin fer enn l'audit pu kone kot kas la sorti.,train,105,97,108,97,1.0285714285714285,1.0
50 ans independance meme zafaire mais astere enas media lib dimoune trouve tous tane tous ziste authoriter qui miope ici proteze montagne ti pitaye par ci ti pitaye par la pas encourage bane jeune pou monter partous vieux bonhome grader contuigne e meme zisqa depasse 65 ans ce qui pas compose examin competance monte grade parcequi c'est un proteger tel minis sois collere lafiche qui monter ici bizin passe un coute carcher,"50 ans independance, mem zafer. Mais aster, ena media lib, dimunn truve tu tande tu, zis otorite qui miope. Ici protez montagne, ti pitaye par ci. Ti pitaye par la... Pas encourage bann jeune pu monte. Partu vieux bonhome grader, kontiyn et mem ziska depasse 65 ans. Ce qui pas compose legzame competance monte grade. Parski c'est un protez tel minis, soi cole lafiche qui monte.. Ici bizin passe un kut carcher.",train,425,412,425,412,1.0,1.0
"Mwa ceki mo p partage mo idea, besoin fair auto lecole aussi a 70km a monter et dan lane 110 km ou 120km comsa pu 1 security pu conner couma sa personne la p control sa machine et aussi li besoin fair so test1 20 a 40 km.. Puis test 2 dan fast lane puis pu reassure pu kapve done li so license.. Merci","Mwa seki mo pe partage mo idea, besoin fer auto lekol aussi a 70 km a monte et dan lane 110 km ou 120 km kumsa pu 1 security pu kone kuma sa personne la pe control sa machine et aussi li besoin fer so test1 20 a 40 km.. Puis test 2 dan fast lane puis pu reassure pu kapav donne li so license.. Merci.",train,301,300,301,300,1.0,1.0
Tiouu après 5hr bus cnt pena lor bambous mo gagne 1 l'idée pou zot prend mo complaint en considération🤔,Tiew après 5hr bus CNT pena lor Bambou. Mo gagne 1 l'idée pu zot prend mo complaint en considération!🤔,train,103,102,109,108,1.058252427184466,1.0588235294117647
PM tro occuP ar canard pu gett problem law and order,Premye minis tro occupe ar canard pu get problem law and order.,train,52,63,52,63,1.0,1.0
La paye osi pou monter,La paie osi pu monte?,train,22,21,22,21,1.0,1.0
Cuma li illegal guv kine nouri poison la asking for a friend 😂,Kuma li illegal? Guvernman kinn nouri pwason la?? Asking for a friend. 😂,train,62,72,65,75,1.0483870967741935,1.0416666666666667
"Fouti ene fausse revolver sa, telment in vende ban fusil pou noel la sa","Fouti enn fausse revolver sa, telma inn vande bann fusil pu noel la sa.",train,71,71,71,71,1.0,1.0
"Kifer zot pa mett li plutôt par région, parski lapli pa tomber partout pareil",Kifer zot pa met li plutôt par région parski lapli pa tombe partu pareil?,train,77,73,79,75,1.025974025974026,1.0273972602739727
Franchement zot bizin ena impe la honte pou dir sa zot in prete serman pou soigne dimoune et zot in choisir pou fer sa metier la aster zot dir zot pa pou travail ca v dir nou bizin choisir jr pou malade ou bien malade zis le jour zot consulter en dhors tou lerla tou korek aret pense zis largent,"Franchement zot bizin ena enpe la honte pu dir sa. Zot inn prete serman pu soigne dimunn et zot inn choisir pu fer sa metier la aster zot dir zot pa pu travail. Savedir nu bizin choisir zur pu malade ou bien malade zis le jour. Zot consulte en deor tu lerla tu korek, aret pense zis larzan.",train,295,290,295,290,1.0,1.0
Tou sala pu gagné likes ene ministre so travaille sa,Tusala pu gagne likes. Enn ministre so travail sa?,train,52,50,53,50,1.0192307692307692,1.0
"[NAME], la gare du nord","[NAME], la gare du nord.",train,23,24,23,24,1.0,1.0
Mette n lekips serieux bizin sans pitie,Met enn lekip serieux. Bizin sans pitie.,train,39,40,39,40,1.0,1.0
Zli arbre genealogy,Zoli arbre genealogy.,train,19,21,19,21,1.0,1.0
"[NAME], merci. Mo pou al check ça. Donne moi le nom svp","[NAME], merci. Mo pu ale check sa. Donne moi le nom svp?",train,55,56,56,56,1.018181818181818,1.0
"Ki arive,, li pna nom li,, pa declare l'tat civil??","Ki arrive, li pena nom li, pa deklare letat civil??",train,51,51,51,51,1.0,1.0
"[NAME], moisi m renferme li m tifi tanki li pa vne grand ek kmprnd ni avion ni oken banal mo pa pu amen li","[NAME], moisi mo renferme li, mo tifi. Tanki li pa vinn grand ek konpran. Ni avion, ni okenn banal. Mo pa pu amenn li.",train,106,118,106,118,1.0,1.0
"[NAME], mo ti pense sa même mo espéré ban dimoun qui p dire li bon zote humain etc si 1 jour zote fami malade zote pas gagne specialist bein zote pas en colère hein","[NAME], mo ti pense samem. Mo espéré bann dimunn qui pe dire li bon zot humain etc. Si 1 jour zot fami malade zot pas gagne specialist, b zot pa en colère hein.",train,164,160,168,163,1.024390243902439,1.01875
Si gramatin faire alcotest avek tous banne policiers ki on duty pendant sa period la 75 pourcent positif mais ki va faire sa divant banne social medias pareille couma sa policies p dire pou lezotte,"Si gramatin faire alcotest avek tu bann policiers ki on duty pendant sa period la 75 pourcent positif. Mais ki va faire sa divan bann social medias, pareil kuma sa policies pe dire pu lezot.",train,197,190,197,190,1.0,1.0
"[NAME], mdr, ou fer 24/7? Kaver medecin la pas humain li, pena fami. Ferme imper f do.. Zot humain pas alien. Al travay dans zot place enplace p zaper","[NAME], MDR, ou fer 24/7? Kave medecin la pas humain li, pena fami? Ferme enpe fesse dow.. Zot humain pas alien. Ale travail dans zot place enplas pe zape.",train,150,155,150,155,1.0,1.0
Kan ti p fer zis repression cest a dire traper bater apre poz kestion li pa ti bon non b banla in sanz stratezi zot p met dialogue aster to croir guard pou rod fer so travay koumsa ramass bez aster patron ki control partou,"Kan ti pe fer zis repression se a dire trape bate apre poz kestion li pa ti bon non? B banla inn sanze stratezi zot pe met dialogue aster, to krwar guard pu rode fer so travail kumsa? Ramasse bez aster. Patron ki control partu.",train,222,227,222,227,1.0,1.0
"[NAME], pu encore rapell ki lin kog la, li ena problem alzaimer li","[NAME], pu encore rapel ki linn koze la, li ena problem Alzheimer li.",train,66,69,66,69,1.0,1.0
La loi maurice permett travail cuman enaa l'âge 16 ans. Dans les années 60 ti laze 12 ans sah,"La loi Maurice permet travail kuma ena l'âge 16 ans. Dans les années 60, ti laz 12 ans sa.",train,93,90,95,92,1.021505376344086,1.0222222222222221
Ban zavocat pou dire li innocent kan case alle la cour zot pou dire so droit pas fine respecter mal faire procedure,"Bann zavocat pu dire li innocent. Kan case ale lakour, zot pu dire so droit pas finn respecte. Mal fer procedure.",train,115,113,115,113,1.0,1.0
Met baton dan so prop laroue ❎️. Coule so prop bato ❎️. Bez liem enn cout bal dan so lipied ✅️,Met baton dan so prop laroue. ❎️ Coule so prop bato. ❎️ Bez limem enn kut bal dan so lipied. ✅️,train,94,95,106,107,1.127659574468085,1.1263157894736842
Moi mo dire premier li ti bizin met lorde dans la police mene... Ensuit li vine ver public.... Parce ki bocu cas ena la police aster alor..,Moi mo dire premier li ti bizin met lord dans la police mene... Ensuite li vinn ver public.... Parski buku cas ena la police aster alor..,train,139,137,139,137,1.0,1.0
"Sa chemin la 60 km et sa distance la, mm chauffeur camion fine sorti ti pou capav arreter. Bizin p roule vite","Sa chemin la 60 km et sa distance la, mem chauffeur camion finn sorti ti pu kapav aert. Bizin pe roule vite.",train,109,108,109,108,1.0,1.0
Cochon marron pas manke dan pei voila he'll die his own death wkth drugs pei fin gate no law and order voila kifer mo fin rename li [NAME],Cochon maron pas mank dan peyi. Voila he'll die his own death with drugs. Peyi finn gate no law and order voila kifer mo finn rename li [NAME].,train,138,143,138,143,1.0,1.0
Toujours bla bla bla bla zero action,Toujours bla bla bla bla. Zero action.,train,36,38,36,38,1.0,1.0
Li retarder,Li retarde?,train,11,11,11,11,1.0,1.0
"Aller 1 fois, to p fer trop dans ca gouvernement la. To ene vaux rien",Ale 1 fois! To pe fer trop dans sa gouvernement la. To enn vo rien.,train,69,67,69,67,1.0,1.0
Eyy non.. Nimport kouma zenfants priority.. Ou get ou zenfant avan lamizment.,Eyy non.. Nerport kuma zanfan priority.. Ou get ou zanfan avant lamizment.,train,77,74,77,74,1.0,1.0
Ki lavey arreter passe zot pou banne dimoune ki pa conner ki p cozee aret rane zot ridicule dow change sa mot lavey la svp,"Ki lavey, aret passe zot pu bann dimunn ki pa kone ki pe koze. Aret rande zot ridicule dow. Change sa mot lavey la, svp.",train,122,120,122,120,1.0,1.0
Si pe reste dans govt faire zotte travail kouma bizin pas la guerre entre zotte meme chaque fois nek on/off,"Si pe reste dans guvernman, faire zot travail kuma bizin. Pas la guerre entre zot mem. Chaque fois nek on/off.",train,107,110,107,110,1.0,1.0
1 drama sa mo sure Lin rate script,1 drama sa. Mo sure linn rate script.,train,34,37,34,37,1.0,1.0
"[NAME], sa partie intime doit etre un hangar!!! 🤪","[NAME], sa partie intime doit etre un hangar!!! 🤪",train,49,49,52,52,1.0612244897959184,1.0612244897959184
Tousa soi-disant millions ki line fer avek crypto... Mais selman kass pou sorti lors caution li pena???🤣🤣,Tusa soi-disant millions ki linn fer avek crypto... Mais selma kas pu sorti lor caution li pena???🤣🤣,train,105,100,111,106,1.0571428571428572,1.06
Cyclone mem pas interesser vin dan pays la,Cyclone mem pas interese vinn dan pays la.,train,42,42,42,42,1.0,1.0
"[NAME], en 2026 dimoun encore ena mentalité kuma ou kan li ti juré pou fer travail la lerla line vine robot ou sois li encore humain","[NAME], en 2026, dimunn encore ena mentalité kuma ou? Kan li ti juré pu fer travail la, lerla linn vinn robot ouswa li encore humain?",train,132,133,134,135,1.0151515151515151,1.0150375939849625
Habituer ar cyclone zis dans weekend 🤣,Habituer ar cyclone zis dans weekend. 🤣,train,38,39,41,42,1.0789473684210527,1.0769230769230769
"[NAME], c n escroc","[NAME], se enn escroc.",train,18,22,18,22,1.0,1.0
ki l'alliance sa on off🤣🤣🤣🤣,Ki l'alliance sa on off?🤣🤣🤣🤣,train,27,28,39,40,1.4444444444444444,1.4285714285714286
Madam oh ale dormi ou p dr bane conneries la,"Madam, oh! Ale dormi. Ou pe dir bann conneries la.",train,44,50,44,50,1.0,1.0
Pas grave ena in servi helicoptere pou ale cherche sac payer le peuole serre ceinture le peuple pou lezot majakaro,Pas grave. Ena inn servi helicopter pu ale cherche sac. Peye le peuple. Serre ceinture le peuple pu lezot majakaro.,train,114,115,114,115,1.0,1.0
Lol... Get sa dow😂,Lol... Get sa dow.😂,train,18,19,21,22,1.1666666666666667,1.1578947368421053
Roche dans caserne pas encore ouvert l’enquête femme pE servi l’auto la police et chauffeur policier pas encore ouvert l’enquête,Roche dans Casernes pas encore ouvert l’enquête. Femme pe servi l’auto la police et chauffeur policier pas encore ouvert l’enquête.,train,128,131,136,139,1.0625,1.0610687022900764
Parents ki pe faire,Parents ki pe faire?,train,19,20,19,20,1.0,1.0
Courage a vous et votre famille bien triste moi si mone perdi mo sel frère ki mo ti ena dan sa circumstance la ene van kit so lane tape ar li zet li roule lor li bien bien dur sa,Courage a vous et votre famille. Bien triste moi si mon perdi mo sel frère ki mo ti ena dan sa circumstance la. Enn van kite so lane tape ar li zet li roule lor li. Bien bien dur sa.,train,178,182,179,183,1.0056179775280898,1.0054945054945055
Si ou prend cash facile. Aux nom de crypto. Aster ou tour mons. Nanier pas facile ici. Prend li normal parcequi sa bnne zenfant ek person ki perdi zot largert l. Zot malediction sa.. Accept karma pe fer so travail,"Si ou prend cash facile au nom de crypto, aster ou tour monsieur. Nanyin pas facile ici. Prend li normal parski sa bann zanfan ek personne ki perdi zot larzan l. Zot malediction sa. Accept karma pe fer so travail.",train,213,213,213,213,1.0,1.0
Avec pra20 nu ggn COVID Avec na20 nu ggn nipah,"Avec Pravin, nu gagne COVID. Avec Navin, nu gagne Nipah.",train,46,56,46,56,1.0,1.0
Kpv gagne site visit pou guet bn chat la comme a msaw ek aussi kpv fer tourists visiter,Kapav gagne site visit pu get bann chat la comme a MSAW ek aussi kapav fer tourists visite?,train,87,91,87,91,1.0,1.0
Informe so parents aussi ki zot garcon p prend li pou spiderman comsa xot pas ale craze bus ou l’ecole si kitchose arriver,Informe so parents aussi ki zot garcon pe prend li pu spiderman. Kumsa zot pas ale kraze bus ou lekol si kitsoz arrive.,train,122,119,124,119,1.0163934426229508,1.0
Mo p commence vinn racist tigit par tigit,Mo pe commence vinn racist tigit par tigit.,train,41,43,41,43,1.0,1.0
Suposer bis ti pou vine gratis ban comik zot ban mesures phares ki ti presenter dan campagne apres election tous ampoules dan phare la ine bruler 🤣🤣🤣,"Sipoz bis ti pu vinn gratis, bann comik. Zot bann mesures phares ki ti presenter dan campagne apre election tu ampoules dan phare la inn bruler. 🤣🤣🤣",train,149,148,158,157,1.0604026845637584,1.0608108108108107
Zote incopetan pa facil,"Zot incopetan, pa fasil.",train,23,24,23,24,1.0,1.0
B li pou passe mop? Ou bien donne rapport dfr? Pffttt...... Ale rode dossier... Hey descan lor laterre dow,B li pu passe mop? Ou bien donne rapport dfr? Pft...... Ale rode dossier... Hey desan lor later dow.,train,106,100,106,100,1.0,1.0
Comissaire ki derouler o courran ou bien p encor dormi mem,"Comissaire ki derule? O courran, ou bien pe ankor dormi mem?",train,58,60,58,60,1.0,1.0
Éna pé critique la police la et mème pé zoure li zoot bizin renseingne bien avant zot comment,Ena pe kritik la police la et mem pe zoure li. Zot bizin renseingne bien avant zot comment.,train,93,91,97,91,1.043010752688172,1.0
Prend courage bien triste,Prend courage. Bien triste.,train,25,27,25,27,1.0,1.0
Mo l'opinion seki [NAME] li enn frustré li enn guruji li ti prof hindi li pa gagn zelev pou donn leson li frustré lane dernier si li ti fer polémique lor prof travay pou lexamen li rekter li pa pou kapav travay pou lexamen li re frustre tousa rekter depi des annee kouma pe fer zot lekol marse si ou ena problen pou manage problem la ek li li gagn mari plezir pou fer popilation maltret profeser kapav li pe croire tou prof kouma li si li ti pe kas poz dan travay li pe croire tou parey kouma li si ou frustre fer soign ou bonom,"Mo l'opinion seki [NAME] li enn frustre. Li enn guruji, li ti professeur hindi. Li pa gagne zelev pu donne lesson li frustre. Lane dernier si li ti fer polémique lor professeur travail pu legzanp. Li rekter, li pa pu kapav travail pu legzanp, li re frustre. Tusa rekter depi des annee kuma pe fer zot lekol marse. Si ou ena problem pu manage. Problem la ek li. Li gagne mari plezir pu fer popilation maltret professeur. Kapav li pe croire tu professeur kuma li. Si li ti pe kase poz dan travail li pe croire tu pareil kuma li. Si ou frustre fer soigne ou bonom.",train,528,561,531,562,1.0056818181818181,1.0017825311942958
Bizin éne dimoune bien proche avec li sa,Bizin enn dimunn bien proche avec li sa.,train,40,40,41,40,1.025,1.0
Bientot pou tend dire pe tir anguilles sous ross tout la! 🤦🏻‍♀️😂,Bientot pu tande dire pe tire anguilles sous ross tu la! 🤦🏻‍♀️😂,train,64,63,79,78,1.234375,1.2380952380952381
Bommbb sa,Bomb sa.,train,9,8,9,8,1.0,1.0
"21 jours zot pou en isolement? Ou bien pou laisse zot alle zot lacaz erla pou faire suivie? Si c le cas, b li pou propager!","21 jours zot pu en isolement? Ou bien pu laisse zot ale zot lakaz, lerla pu faire suivie. Si se le cas, b li pu propager!",train,123,121,123,121,1.0,1.0
Nooon sérieux 🤦‍♀️ alor dimoune pa cner dan 1 supermarché ena caméra dan tou coin et recoin ❓️ puffff,Non sérieux 🤦‍♀️ alor dimunn pa kone dan 1 supermarché ena caméra dan tu coin et recoin ❓️ Puf!,train,101,95,117,111,1.1584158415841583,1.168421052631579
Tous sa riyé li faire dimoune riyé la...,Tusa riye li faire dimunn riye la...,train,40,36,42,36,1.05,1.0
"[NAME], safr la p batt partout la ein 🤣🔥","[NAME], zafer la pe bate partu la ein. 🤣🔥",train,40,41,46,47,1.15,1.146341463414634
Ski banla travail 24/7 ou c lor shift sa ou kan travail le soir la ki p poz ene problem kan ene zanfan malade ava dir li kumsa tini malade la kan docteur repren lerla ava amene li lopital,Seki banla travail 24/7 ou se lor shift sa?? Ou kan travail le soir la ki pe poz enn problem? Kan enn zanfan malade ava dir li kumsa tini malade la kan docteur repren lerla ava amenn li lopital.,train,187,194,187,194,1.0,1.0
P TruV van la so phar,Pe truve van la so phare.,train,21,25,21,25,1.0,1.0
On doit enlever les zako aussi parce quils sont un vrai nuigeance et ils attaquent les gens tousa,On doit enleve les zako aussi parce qu'ils sont un vrai nuisance et ils attaquent les gens tusa.,train,97,96,97,96,1.0,1.0
Plz respecté sa bane travailleurs la c'est bane humains kuma nous si banelas fr la greve nou pou soufert,Please respect sa bann travailleurs la. C'est bann humains kuma nous. Si banla fer la greve nu pu sufer.,train,104,104,105,104,1.0096153846153846,1.0
Ou kapav contact moi en privé nou rode solution,"Ou kapav contact moi en prive, nu rode solution.",train,47,48,48,48,1.0212765957446808,1.0
La so problem enan barage block ki kelke par cre 1 blind spot pran chemin inite pou ale sorti melrose zis pou sorti lor debouche la bien dangereux,"La so problem ena baraz block ki kelke par kree 1 blind spot, pran chemin inite pu ale sorti Melrose, zis pu sorti lor debouche la bien dangereux.",train,146,146,146,146,1.0,1.0
"[NAME], mo esperer ou un grand savant ou kpve ale fr advisor. Tou le respect ki mo ena pou ou, coz jamais nu bizin pa prend nou pou plis superieur et traite dimun pou imbecile. Coz pou le createur narien pa imposible un seul coup ou trouve ban intello la vine ban veritab imbecile. Qu'allah vous guide ameen","[NAME], mo espere ou un grand savant ou kapav ale fer advisor. Tu le respect ki mo ena pu ou, akoz jamais nu bizin pa prend nu pu plis superieur et traite dimunn pu inbesil. Akoz pu le createur nanyin pa impossible un seul kut ou truve bann intelligent la vinn bann veritab inbesil. Qu'Allah vous guide, ameen.",train,307,310,307,310,1.0,1.0
Van la vine entor la position line tap avk camion la,"Van la vinn antor la, position linn tape avek camion la.",train,52,56,52,56,1.0,1.0
Sa gros camion la li pa truve ki ena ene van p vini ki fer li bizin presser pou sorti. Alor van aussi ki vitess ou p desane pou pacav evite sa accident la. Chauffeur zote bizin re prend ene bon formation avan zote conduire gros gros machine pa joujou zenfan sa. Mo espere dans van la pa fine finn tou ke 2 pena courtoisies,"Sa gros camion la li pa truve ki ena enn van pe vini kifer li bizin presse pu sorti. Alor van aussi ki vites ou pe desan pu pacav evite sa accident la. Chauffeur zot bizin re prend enn bon formation avant zot kondire gros gros machine pa, joujou zanfan sa. Mo espere dans van la pa finn blesse, tu ke 2 pena courtoisies.",train,322,320,322,320,1.0,1.0
Bhai Osman aussi ine met uniform DAV 😅,Bhai Osman aussi inn met uniform DAV. 😅,train,38,39,41,42,1.0789473684210527,1.0769230769230769
Li kozé kumadir prohet jeremiah p kozé la🤣🤣🤣🤣,Li koze kumadir Prophet Jeremiah pe koze la.🤣🤣🤣🤣,train,47,48,61,60,1.297872340425532,1.25
Un lautre business dehors nuvo vaccin nuvo prix rs10 pu vinn rs100,"Un lot business dehors: nuvo vaccine, nuvo prix. Rs10 pu vinn Rs100.",train,66,68,66,68,1.0,1.0
Bizin saute la main pa capav tolerer sa,Bizin saute la main pa kapav tolere sa.,train,39,39,39,39,1.0,1.0
"[NAME], zot même zot nepli compren ki zot ine met en place","[NAME], zot même zot nepli konpran ki zot inn met en place.",train,58,59,59,60,1.0172413793103448,1.0169491525423728
Grillade lor baz Bus Resto Grill agneau saucisse ek poulet promo,Grillade lor baz: Bus Resto Grill. Agneau saucisse ek poulet. Promo.,train,64,68,64,68,1.0,1.0
"Pou moi personelment mo done mdm tort. Ou accepter rest ek ene zom ki fer dominer ar ou, 2026 la lever kas sa somei la. Kifer bizin ena zenfent avec concubin????. Si ene dimoune vrai meme li envie fet ene lavenir avec ou, li pou marier avec ou religieusement anene ou dan so la caze vivre couma ene couple","Pu moi personelment mo donne madam tort. Ou accepte reste ek enn zom kifer dominer ar ou, 2026 la leve kas sa somey la. Kifer bizin ena zanfan avec concubin???? Si enn dimunn vrai mem li anvi fet enn lavenir avec ou, li pu marie avec ou religieusement amenn ou dan so lakaz viv kuma enn couple.",train,305,294,305,294,1.0,1.0
Mo coire bizin recommence met larzen emba Matela,Mo krwar bizin recommence met larzan enba matela.,train,48,49,48,49,1.0,1.0
Polo manze are li meme to gagne 100 ans nou coaltar nu pou continié vote toi,"Polo manze ar li. Mem to gagne 100 ans, nu coaltar, nu pu kontiyn vote toi.",train,76,75,77,75,1.013157894736842,1.0
Permis a point pu metter pa pou change narien tant ki mauricien so mentalité pas changer,"Permis a point pu met, pa pu change nanyin tant ki Mauricien so mentalité pas change.",train,88,85,89,86,1.0113636363636365,1.011764705882353
L’année la faire vindaye,L’année la faire vindaye.,train,24,25,27,28,1.125,1.12
No blame on the system or teachers 3 credits pa p kapav amener zenes zordi ki en tord zot prioriter nepli lor education zot pena discipline seki meriter pou continuer apran seki pa meriter pa vin rod pretext,No blame on the system or teachers. 3 credits pa pe kapav amenn. Zeness zordi ki en tord. Zot priorite nepli lor education. Zot pena discipline. Seki merite pu kontiyn aprann. Seki pa merite pa vinn rode pretext.,train,207,212,207,212,1.0,1.0
Met so nom et photo plumber la,Met so nom et photo plumber la.,train,30,31,30,31,1.0,1.0
Zako zot tire kifer. Zot konne li pou desire zot,Zako zot tire kifer? Zot kone li pu desire zot.,train,48,47,48,47,1.0,1.0
"Peu import ki kalit la lwa pou aplik. Accident ki ou azin ki ou fine boir ene vere la beer. Si ena pou ariv, pena bare sa","Peu import ki kalite lalwa pu aplik. Accident ki ou bizin ki ou finn bwar enn ver la beer. Si ena pu arrive, pena bare sa.",train,121,122,121,122,1.0,1.0
"Dans place bla bla bla, ale débouche tout bane drain.....","Dans place bla bla bla, ale débouche tu bann drain.....",train,57,55,58,56,1.0175438596491229,1.018181818181818
Osman mahomed sa zom bane lezot bizin pren lesson,Osman Mahomed: sa zom! Bann lezot bizin pran lesson.,train,49,52,49,52,1.0,1.0
To Karma sa to cntn largn facile to fair le zt suivre tw,"To karma sa. To kontan larzan facile, to fer le zot suivre twa.",train,56,63,56,63,1.0,1.0
Sorry pou dir ca zot roder zot ggner to p al fr landing dan bane quartier chaud to amene bane simple la police amene [NAME] ek ssu ki zoy poi nek zis srti kan bizin deblaye la route kan cyclone,"Sorry pu dir sa: zot rode zot gagne. To pe ale fer landing dan bann quartier chaud, to amenn bann simple la police, amenn gi0m ek SSU. Ki zot pu nek zis sorti kan bizin deblaye la route, kan cyclone?",train,193,199,193,199,1.0,1.0
"[NAME], ki derouler","[NAME], ki derule?",train,19,18,19,18,1.0,1.0
Pe fer grimace ena pas ouler ou zanfan lire zot tou prend leson carrer ens cash pou aster datas alle food court bey prend leson vine grand dimoune,"Pe fer grimace ena pas oule ou zanfan lire zottu prend lesson carrer. Ena cash pu aster datas, ale food court bey prend lesson. Vinn grand dimunn.",train,146,146,146,146,1.0,1.0
Met en boite cigarette ene sel cou dan so la guelle et occupe li bien qui jamais li pou blier,Met en boite cigarette enn sel kut dan so la gueule et occupe li bien qui jamais li pu bliye.,train,93,93,93,93,1.0,1.0
Mo ti croire tw 1 cou🤣🤣🤣🤣🤣in vote zt tou🤣🤣🤣🤣mo esperé le pep art vote zt ek pravin mo esperé nu resi aret r zot bne kkliki,Mo ti croire twa 1 kut🤣🤣🤣🤣🤣inn vote zottu🤣🤣🤣🤣mo espere lepep aret vote zot ek Pravin. Mo espere nu resi aret ar zot bann kakaliki.,train,122,130,151,157,1.2377049180327868,1.2076923076923076
5hr35 matin in ariv sa ti ena 3 fam 2 zom 1 fsm in bure ladan 1 mort 3 lopital mercurande kine entrre ar piti la in touye li mari pression ti p vni sa lor camera safe city pu ggne tou sou cuma cosson sori,"5hr35 matin inn arrive sa. Ti ena 3 fam, 2 zom: 1 fam inn boure ladan, 1 mort, 3 lopital. Mercurande kinn rantre ar piti la, inn touy li. Mari pression ti pe vini sa. Lor camera safe city pu gagne tu so, kuma coson sori.",train,204,220,204,220,1.0,1.0
"[NAME], donne ou full raison moi si mo ena jumeau zott ena 3ans mais mo bien vigilant lor zott parfois ena dire mo fer un peu de trop mais non si arrive zott kitzor moi ki pou responsable alors mo pa gette tourist alors moi si mo fer pareil quand arrive ler pou laisse zott seul mo kone zott grand mais la non pas pour le moment","[NAME], donne ou full raison, moi si mo ena jumeau, zot ena 3 ans. Mais mo bien vigilant lor zot. Parfois ena dire mo fer un peu de trop. Mais non si arrive zot kitsoz, moi ki pu responsable. Alors mo pa get tourist alors moi si mo fer pareil. Quand arrive ler pu laisse zot seul. Mo kone zot grand mais la non pas pour le moment.",train,328,330,328,330,1.0,1.0
Sa pa consern ministr transport osman so traka ce fair bus rentr kot pa kpav rentr e bus stop pa important buku place perna bus stop et certain place mem pa kapav met bus stop place mem perna erna place bus stop ine dispareit pane remetè,"Sa pa concerne minis transport. Osman so tracas: se fer bus rantre kot pa kapav rantre, bus stop pa important. Buku place pena bus stop, et certain place mem pa kapav met bus stop. Place mem pena! Ena place, bus stop inn disparet, pann remet.",train,237,242,238,242,1.0042194092827004,1.0
Recrute plus docteur et fer 1 system rotation kot li moins épuisant akoz sa meme docteur aigris pa pran dimoun compte zot fini fatigué ar travay,Rekrite plus docteur et fer 1 system rotation kot li moins épuisant. Akoz samem docteur aigris pa pran dimunn compte. Zot fini fatigue ar travail.,train,144,146,146,147,1.0138888888888888,1.0068493150684932
Depi sa gouvernement la ine gnn pouvoir catastrophes dan maurice so couler mem mem ine dir zot me lisié ti bouc move ek rouge les sang e la mort prépare zot pou le pire ki p vini,"Depi sa gouvernement la inn gagne pouvoir, catastrophes dan Maurice. So koule mem mem inn dir zot, me lizye ti bouss. Move ek rouge les sang, et la mort prépare zot pu le pire ki pe vini.",train,178,187,180,188,1.0112359550561798,1.0053475935828877
Pa pu kv al contre bnla akoz mm zot endan zot p control partou,"Pa pu kapav ale contre banla akoz mem zot endan, zot pe control partu.",train,62,70,62,70,1.0,1.0
Connector la ki derouler sa 🙄,Connector la ki derule sa? 🙄,train,29,28,32,31,1.103448275862069,1.1071428571428572
Apel sa ban maman soutireuse voila.. Boku ena cumsa zot content couvert defaut zot boureaux enfant 😡. Fini coner kot lin gagne so barbare leducation. Ce pas en enfant ce en vrai monster,Apel sa bann maman soutireuse voila.. Buku ena kumsa zot kontan couvert defaut zot boureaux enfant. 😡 Fini kone kot linn gagne so barbare ledikasyon. Ce pas en enfant se enn vrai monster.,train,185,187,188,190,1.0162162162162163,1.0160427807486632
Hey aret pran nou pou gopia do bege to vieux fesse la aller mauvais menteur...,"Hey! Aret pran nu pu gopia dow! Bez to vieux fesse la, ale move menteur...",train,78,74,78,74,1.0,1.0
Mettre zot nom pou dimoune kone ki sanna sa 2 cochon la bizin pa laiss sorti lor caution sa,Met zot nom pu dimunn kone kisanla sa 2 cochon la. Bizin pa less sorti lor caution sa.,train,91,86,91,86,1.0,1.0
